Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,01/30/2024,"JARED-GALLERIA #473 CHANDLER AZ              01/29",-133.99,DEBIT_CARD,1829.05,,
DEBIT,01/30/2024,"TREND VAPE PHOENIX AZ                        01/29",-32.56,DEBIT_CARD,1963.04,,
DEBIT,01/30/2024,"GRUBHUBBLACKBEARDINER GRUBHUB.COM NY         01/30",-34.01,DEBIT_CARD,1995.60,,
DEBIT,01/30/2024,"METAPAY*Jessica Pugh pay.fb.com CA           01/29",-200.00,DEBIT_CARD,2029.61,,
DEBIT,01/29/2024,"APPLE.COM/BILL 866-712-7753 CA               01/29",-17.24,DEBIT_CARD,2229.61,,
DEBIT,01/29/2024,"IC* INSTACART 888-2467822 CA                 01/27",-67.94,DEBIT_CARD,2246.85,,
DEBIT,01/29/2024,"Payment to Chase card ending in 9901 01/29",-627.84,LOAN_PMT,2314.79,,
DEBIT,01/29/2024,"Autosave General Saving 11498918449",-830.00,ACCT_XFER,2942.63,,
DEBIT,01/29/2024,"MOHELA           QDR                        PPD ID: 3431261525",-152.21,ACH_DEBIT,3772.63,,
DEBIT,01/29/2024,"GRUBHUBGOPUFFCONVENIE GRUBHUB.COM NY         01/27",-46.90,DEBIT_CARD,3924.84,,
DEBIT,01/26/2024,"CSC SERVICEWORK CHANDLER AZ                  01/25",-2.00,DEBIT_CARD,3971.74,,
DEBIT,01/26/2024,"CSC SERVICEWORK SUN LAKES AZ                 01/25",-2.50,DEBIT_CARD,3973.74,,
CREDIT,01/26/2024,"ADP TOTALSOURCE  DIRECT DEP                 PPD ID: 9111111102",2913.91,ACH_CREDIT,3976.24,,
DEBIT,01/25/2024,"NON-CHASE ATM FEE-WITH",-3.00,FEE_TRANSACTION,1062.33,,
DEBIT,01/25/2024,"NON-CHASE ATM WITHDRAW               135031  01/245040 WEST",-63.00,ATM,1065.33,,
DEBIT,01/25/2024,"SHELL OIL 57442011003 SUN LAKES AZ           01/24",-25.70,DEBIT_CARD,1128.33,,
DEBIT,01/25/2024,"www.cvs.com 800-746-7287 RI                  01/24",-49.08,DEBIT_CARD,1154.03,,
DEBIT,01/25/2024,"AZ MVD FEE 602-255-0072 NY                   01/25",-1.00,DEBIT_CARD,1203.11,,
DEBIT,01/25/2024,"VITAL4MEN CHANDLER AZ                        01/23",-300.00,DEBIT_CARD,1204.11,,
DEBIT,01/25/2024,"VITAL4MEN CHANDLER AZ                        01/23",-45.00,DEBIT_CARD,1504.11,,
DEBIT,01/24/2024,"IC* INSTACART 888-2467822 CA                 01/24",-135.08,DEBIT_CARD,1549.11,,
DEBIT,01/24/2024,"GRUBHUBPIEOLOGY GRUBHUB.COM NY               01/23",-32.78,DEBIT_CARD,1684.19,,
DEBIT,01/23/2024,"WALGREENS STORE 1919 N CHANDLER AZ   750156  01/23",-11.90,DEBIT_CARD,1716.97,,
DEBIT,01/23/2024,"FRYS-MKTPLACE #6 9900 TEMPE AZ       450658  01/23",-9.80,DEBIT_CARD,1728.87,,
DEBIT,01/23/2024,"GEICO  *AUTO 800-841-3000 DC                 01/23",-118.25,DEBIT_CARD,1738.67,,
DEBIT,01/23/2024,"GRUBHUB* NEKTERJUICEBA GRUBHUB.COM IL        01/22",-21.16,DEBIT_CARD,1856.92,,
DEBIT,01/22/2024,"WALGREENS STORE 10324 SUN LAKES AZ   710091  01/22",-51.97,DEBIT_CARD,1878.08,,
DEBIT,01/22/2024,"CIRCLE K # 03480 4810 PHOENIX AZ             01/22",-8.38,DEBIT_CARD,1930.05,,
DEBIT,01/22/2024,"WHP-RIZZO'S PIZZA CHANDLER AZ                01/21",-6.00,DEBIT_CARD,1938.43,,
DEBIT,01/22/2024,"BURGER KING #7043  Q07 PHOENIX AZ            01/20",-17.97,DEBIT_CARD,1944.43,,
DEBIT,01/22/2024,"APPLE.COM/BILL 866-712-7753 CA               01/20",-10.77,DEBIT_CARD,1962.40,,
DEBIT,01/22/2024,"APPLE.COM/BILL 866-712-7753 CA               01/20",-20.47,DEBIT_CARD,1973.17,,
DEBIT,01/22/2024,"JOLIES PLACE CHANDLER AZ                     01/19",-67.51,DEBIT_CARD,1993.64,,
DEBIT,01/22/2024,"METAPAY*Jessica Pugh pay.fb.com CA           01/19",-30.00,DEBIT_CARD,2061.15,,
DEBIT,01/22/2024,"METAPAY*Jessica Pugh pay.fb.com CA           01/19",-30.00,DEBIT_CARD,2091.15,,
DEBIT,01/19/2024,"MACAYO'S AHWATUKEE PHOENIX AZ                01/18",-72.08,DEBIT_CARD,2121.15,,
DEBIT,01/19/2024,"AZ MVD FEE 602-255-0072 NY                   01/19",-5.63,DEBIT_CARD,2193.23,,
DEBIT,01/19/2024,"AZ MVD FEE 602-255-0072 NY                   01/19",-298.41,DEBIT_CARD,2198.86,,
DEBIT,01/19/2024,"U-HAUL STORAGE OF APA 800-789-3638 AZ        01/18",-56.21,DEBIT_CARD,2497.27,,
DEBIT,01/18/2024,"APPLE.COM/BILL 866-712-7753 CA               01/18",-10.77,DEBIT_CARD,2553.48,,
DEBIT,01/18/2024,"IC* INSTACART 888-2467822 CA                 01/17",-98.83,DEBIT_CARD,2564.25,,
DEBIT,01/18/2024,"GRUBHUBPIEOLOGY GRUBHUB.COM NY               01/18",-49.15,DEBIT_CARD,2663.08,,
DEBIT,01/18/2024,"METAPAY*Jessica Pugh MENLO PARK CA   429775  01/18",800.00,DEBIT_CARD,2712.23,,
CREDIT,01/18/2024,"Online Transfer from SAV ...8306 transaction#: 19609615338",1000.00,ACCT_XFER,1912.23,,
DEBIT,01/17/2024,"VZWRLSS*APOCC VISW 800-922-0204 FL           01/17",-75.70,DEBIT_CARD,912.23,,
DEBIT,01/17/2024,"GRUBHUBBLACKBEARDINER GRUBHUB.COM NY         01/17",-49.40,DEBIT_CARD,987.93,,
DEBIT,01/16/2024,"PAYPAL           INST XFER  EXPRESSVPN      WEB ID: PAYPALSI77",-12.95,ACH_DEBIT,1037.33,,
DEBIT,01/16/2024,"PAYPAL           INST XFER  UDEMY           WEB ID: PAYPALSI77",-17.24,ACH_DEBIT,1050.28,,
DEBIT,01/16/2024,"SALAD AND GO #1137 PHOENIX AZ                01/14",-13.94,DEBIT_CARD,1067.52,,
DEBIT,01/16/2024,"CVS/PHARMACY #03491 800-746-7287 AZ          01/14",-25.43,DEBIT_CARD,1081.46,,
DEBIT,01/16/2024,"RF *CARING FOR FAMIL 575-640-4329 AZ         01/14",-125.00,DEBIT_CARD,1106.89,,
DEBIT,01/16/2024,"ZIPPS SPORTS GRILL PHOENIX AZ                01/15",-81.25,DEBIT_CARD,1231.89,,
DEBIT,01/16/2024,"TREND VAPE PHOENIX AZ                        01/13",-55.35,DEBIT_CARD,1313.14,,
DEBIT,01/16/2024,"GOBRANDS INC. help_me@grubh AZ               01/14",-128.12,DEBIT_CARD,1368.49,,
DEBIT,01/16/2024,"APPLE.COM/BILL 866-712-7753 CA               01/13",-3.22,DEBIT_CARD,1496.61,,
DEBIT,01/16/2024,"GRUBHUBBLACKBEARDINER GRUBHUB.COM NY         01/14",-42.40,DEBIT_CARD,1499.83,,
DEBIT,01/16/2024,"GUMRD.COM* JORDI BRU HTTPSGUMROAD. CA        01/13",-31.80,DEBIT_CARD,1542.23,,
DEBIT,01/16/2024,"Autosave General Saving 11494128059",-830.00,ACCT_XFER,1574.03,,
DEBIT,01/16/2024,"VITAL4MEN CHANDLER AZ                        01/12",-45.00,DEBIT_CARD,2404.03,,
DEBIT,01/16/2024,"CVS/PHARMACY #09290 800-746-7287 AZ          01/12",-49.65,DEBIT_CARD,2449.03,,
DEBIT,01/12/2024,"CIRCLE K 05282 5060 E PHOENIX AZ             01/12",-15.74,DEBIT_CARD,2498.68,,
DEBIT,01/12/2024,"Payment to Chase card ending in 9901 01/12",-969.70,LOAN_PMT,2514.42,,
DEBIT,01/12/2024,"CVS/PHARMACY #03 03491 Sun Lakes AZ  053446  01/12",-66.98,DEBIT_CARD,3484.12,,
DEBIT,01/12/2024,"NETFLIX.COM NETFLIX.COM CA                   01/12",-7.54,DEBIT_CARD,3551.10,,
DEBIT,01/12/2024,"Rocket Money     Premium    ST-W9Q7P5O9E8P7 CCD ID: 1800948598",-8.68,MISC_DEBIT,3558.64,,
DEBIT,01/12/2024,"BURGER KING #7043  Q07 PHOENIX AZ            01/10",-20.70,DEBIT_CARD,3567.32,,
CREDIT,01/12/2024,"ADP TOTALSOURCE  DIRECT DEP                 PPD ID: 9111111102",2913.93,ACH_CREDIT,3588.02,,
DEBIT,01/11/2024,"ADVS ED SERV PPD STUDNTLOAN                 PPD ID: 9102001101",-311.47,ACH_DEBIT,674.09,,
DEBIT,01/11/2024,"IC* INSTACART*SUBSCR HTTPSINSTACAR CA        01/11",-10.55,DEBIT_CARD,985.56,,
DEBIT,01/11/2024,"CVS/PHARMACY #03491 800-746-7287 AZ          01/10",-30.00,DEBIT_CARD,996.11,,
DEBIT,01/11/2024,"CIRCLE K 05282 PHOENIX AZ                    01/10",-36.34,DEBIT_CARD,1026.11,,
DEBIT,01/11/2024,"TASKER ON TASKRABBIT WWW.TASKRABBI CA        01/10",-214.97,DEBIT_CARD,1062.45,,
DEBIT,01/11/2024,"BURGER KING #7043  Q07 PHOENIX AZ            01/09",-15.70,DEBIT_CARD,1277.42,,
DEBIT,01/10/2024,"CIRCLE K 05282 5060 E PHOENIX AZ             01/10",-17.70,DEBIT_CARD,1293.12,,
DEBIT,01/10/2024,"Nintendo CD1132712500 800-2553700 WA         01/10",-4.30,DEBIT_CARD,1310.82,,
DEBIT,01/10/2024,"AKIMEL ENTERPRISE LLC SUN LAKES AZ           01/09",-16.10,DEBIT_CARD,1315.12,,
DEBIT,01/09/2024,"BEST BUY      00008698 CHANDLER AZ           01/09",-43.10,DEBIT_CARD,1331.22,,
DEBIT,01/09/2024,"AMERICAN EXPRESS ACH PMT    M5184           WEB ID: 2005032111",-2.16,ACH_DEBIT,1374.32,,
DEBIT,01/09/2024,"AMERICAN EXPRESS ACH PMT    A8996           WEB ID: 9493560001",-20.02,ACH_DEBIT,1376.48,,
DEBIT,01/09/2024,"MCDONALD'S F24901 SUN LAKES AZ               01/08",-15.49,DEBIT_CARD,1396.50,,
DEBIT,01/09/2024,"SHELL OIL 57442011003 SUN LAKES AZ           01/08",-8.77,DEBIT_CARD,1411.99,,
DEBIT,01/09/2024,"Microsoft G036579191 701-2817490 WA          01/09",-18.30,DEBIT_CARD,1420.76,,
DEBIT,01/09/2024,"COX PHOENIX COMM SERV 800-234-3993 AZ        01/08",-50.00,DEBIT_CARD,1439.06,,
DEBIT,01/09/2024,"CIRCLE K # 05301 CHANDLER AZ                 01/07",-5.58,DEBIT_CARD,1489.06,,
DEBIT,01/09/2024,"U-HAUL MOVING & STORAGE SUN LAKES AZ         01/08",-216.46,DEBIT_CARD,1494.64,,
DEBIT,01/08/2024,"PIZZA HUT 35865 https://ipcha AZ             01/07",-51.22,DEBIT_CARD,1711.10,,
DEBIT,01/08/2024,"CIRCLE K # 03480 4810 PHOENIX AZ             01/07",-39.56,DEBIT_CARD,1762.32,,
DEBIT,01/08/2024,"CIRCLE K # 03480 4810 PHOENIX AZ             01/07",-2.27,DEBIT_CARD,1801.88,,
DEBIT,01/08/2024,"CIRCLE K # 03480 4810 PHOENIX AZ             01/07",-22.47,DEBIT_CARD,1804.15,,
DEBIT,01/08/2024,"TACO BELL 037541 PHOENIX AZ                  01/06",-34.47,DEBIT_CARD,1826.62,,
DEBIT,01/08/2024,"METAPAY*Jessica Pugh pay.fb.com CA           01/06",-780.16,DEBIT_CARD,1861.09,,
DEBIT,01/08/2024,"MSI INSURANCE 844-788-0873 TX                01/06",-213.00,DEBIT_CARD,2641.25,,
DEBIT,01/08/2024,"PYL*Con Am Property Ma 866-7295327 CA        01/06",-62.77,DEBIT_CARD,2854.25,,
DEBIT,01/08/2024,"PYL*Con Am Property Ma 866-7295327 CA        01/06",-62.77,DEBIT_CARD,2917.02,,
DEBIT,01/08/2024,"U-HAUL MOVING & STORA 800-789-3638 AZ        01/06",-88.87,DEBIT_CARD,2979.79,,
DEBIT,01/08/2024,"USPS PO 03148202 123 W CHANDLER AZ   753014  01/06",-20.58,DEBIT_CARD,3068.66,,
DEBIT,01/08/2024,"JOLIES PLACE CHANDLER AZ                     01/05",-83.89,DEBIT_CARD,3089.24,,
DEBIT,01/08/2024,"ORBITEL COMMUNICATION 520-568-8890 AZ        01/05",-49.95,DEBIT_CARD,3173.13,,
DEBIT,01/08/2024,"APPLE.COM/BILL 866-712-7753 CA               01/06",-6.46,DEBIT_CARD,3223.08,,
DEBIT,01/08/2024,"U-HAUL STORAGE OF APA 800-789-3638 AZ        01/05",-61.33,DEBIT_CARD,3229.54,,
CREDIT,01/08/2024,"Online Transfer from SAV ...8306 transaction#: 19509215717",2000.00,ACCT_XFER,3290.87,,
DEBIT,01/05/2024,"Payment to Chase card ending in 9901 01/05",-716.70,LOAN_PMT,1290.87,,
DEBIT,01/05/2024,"THE VAPE LAB 1 CHANDLER AZ                   01/04",-44.17,DEBIT_CARD,2007.57,,
DEBIT,01/04/2024,"PAYPAL           INST XFER  SPOTIFYUSAI     WEB ID: PAYPALSI77",-16.28,ACH_DEBIT,2051.74,,
DEBIT,01/04/2024,"SYNCHRONY BANK   PAYMENT    504662204854782 WEB ID: 1061537262",-155.00,ACH_DEBIT,2068.02,,
DEBIT,01/03/2024,"LIGHTHOUSE PSYCHIATRY 480-5656440 AZ         01/02",-25.00,DEBIT_CARD,2223.02,,
DEBIT,01/02/2024,"CALENDLY HTTPSCALENDLY GA                    12/31",-10.71,DEBIT_CARD,2248.02,,
DEBIT,01/02/2024,"Autosave General Saving 11488963998",-830.00,ACCT_XFER,2258.73,,
DEBIT,01/02/2024,"CVS/PHARMACY #00193 800-746-7287 AZ          12/29",-10.00,DEBIT_CARD,3088.73,,
DEBIT,01/02/2024,"METAPAY*Jessica Pugh pay.fb.com CA           12/29",-493.00,DEBIT_CARD,3098.73,,
DEBIT,12/29/2023,"CVS/PHARMACY #00 00193 Chandler AZ   536973  12/29",-57.63,DEBIT_CARD,3591.73,,
DEBIT,12/29/2023,"UNITY TECHNOLOGI IAT PAYPAL 1031580883933   WEB ID: 770510487C",-16.18,ACH_DEBIT,3649.36,,
DEBIT,12/29/2023,"IC* INSTACART 888-2467822 CA                 12/29",-67.89,DEBIT_CARD,3665.54,,
CREDIT,12/29/2023,"ADP TOTALSOURCE  DIRECT DEP                 PPD ID: 9111111101",2919.70,ACH_CREDIT,3733.43,,
DEBIT,12/28/2023,"MOHELA           QDR                        PPD ID: 3431261525",-152.21,ACH_DEBIT,813.73,,
DEBIT,12/28/2023,"DOUBLE WOOD SUPPLEMENT 570-4370203 PA        12/27",-21.21,DEBIT_CARD,965.94,,
DEBIT,12/27/2023,"Nintendo CA1119573810 800-2553700 WA         12/26",-13.46,DEBIT_CARD,987.15,,
DEBIT,12/27/2023,"Nintendo CA1119570118 800-2553700 WA         12/26",-2.68,DEBIT_CARD,1000.61,,
DEBIT,12/27/2023,"283 HARDEES ROBINSON ROBINSON IL             12/26",-26.85,DEBIT_CARD,1003.29,,
DEBIT,12/26/2023,"NON-CHASE ATM FEE-WITH",-3.00,FEE_TRANSACTION,1030.14,,
DEBIT,12/26/2023,"CASEYS #2325 1104 S WI EFFINGHAM IL  149780  12/26",-16.22,DEBIT_CARD,1033.14,,
DEBIT,12/26/2023,"APPLE.COM/BILL 866-712-7753 CA               12/26",-17.24,DEBIT_CARD,1049.36,,
DEBIT,12/26/2023,"CASEYS #1866 1603 W MA ROBINSON IL   136838  12/23",-7.63,DEBIT_CARD,1066.60,,
DEBIT,12/26/2023,"D-J'S PARTY SUPPLY ROBINSON IL               12/23",-35.08,DEBIT_CARD,1074.23,,
DEBIT,12/26/2023,"HUCK'S FOOD & F Robinson IL                  12/23",-6.55,DEBIT_CARD,1109.31,,
DEBIT,12/26/2023,"NON-CHASE ATM WITHDRAW               249382  12/23501 E MAI",-204.00,ATM,1115.86,,
DEBIT,12/26/2023,"Wal-Mart Super Center ROBINSON IL            12/23",-20.66,DEBIT_CARD,1319.86,,
DEBIT,12/26/2023,"ROBINSON RURAL KING SUP ROBINSON IL          12/23",-21.25,DEBIT_CARD,1340.52,,
DEBIT,12/26/2023,"VILLAS COUNTRY STORE LL FLAT ROCK IL         12/23",-44.59,DEBIT_CARD,1361.77,,
DEBIT,12/26/2023,"GEICO  *AUTO 800-841-3000 DC                 12/23",-118.25,DEBIT_CARD,1406.36,,
DEBIT,12/26/2023,"VENMO            PAYMENT    1031450944895   WEB ID: 3264681992",-5.00,ACH_DEBIT,1524.61,,
DEBIT,12/26/2023,"NATIONAL ENTERTAINMEN FERGUSON MO            12/22",-2.00,DEBIT_CARD,1529.61,,
DEBIT,12/26/2023,"NATIONAL ENTERTAINMEN FERGUSON MO            12/22",-2.00,DEBIT_CARD,1531.61,,
DEBIT,12/26/2023,"STEAK-N-SHAKE#0153 Q99 ST LOUIS MO           12/22",-24.73,DEBIT_CARD,1533.61,,
DEBIT,12/26/2023,"CONNECTIONS D ST2878 TEMPE AZ                12/22",-5.41,DEBIT_CARD,1558.34,,
DEBIT,12/26/2023,"VITAL4MEN CHANDLER AZ                        12/21",-369.00,DEBIT_CARD,1563.75,,
DEBIT,12/26/2023,"VITAL4MEN CHANDLER AZ                        12/21",-87.00,DEBIT_CARD,1932.75,,
DEBIT,12/22/2023,"CVS/PHARMACY #00193 800-746-7287 AZ          12/21",-7.70,DEBIT_CARD,2019.75,,
DEBIT,12/22/2023,"DAIRY QUEEN #44452 CHANDLER AZ               12/21",-19.22,DEBIT_CARD,2027.45,,
DEBIT,12/20/2023,"PIZZA HUT 35865 https://ipcha AZ             12/19",-45.26,DEBIT_CARD,2046.67,,
DEBIT,12/20/2023,"APPLE.COM/BILL 866-712-7753 CA               12/19",-20.47,DEBIT_CARD,2091.93,,
DEBIT,12/19/2023,"U-HAUL STORAGE OF APA 800-789-3638 AZ        12/18",-56.21,DEBIT_CARD,2112.40,,
DEBIT,12/18/2023,"PAYPAL           INST XFER  EXPRESSVPN      WEB ID: PAYPALSI77",-12.95,ACH_DEBIT,2168.61,,
DEBIT,12/18/2023,"VZWRLSS*APOCC VISW 800-922-0204 FL           12/17",-75.54,DEBIT_CARD,2181.56,,
DEBIT,12/18/2023,"GRUBHUBWHATABURGER GRUBHUB.COM NY            12/18",-34.00,DEBIT_CARD,2257.10,,
DEBIT,12/18/2023,"LABCORP8008456167 800-845-6167 NC            12/16",-10.99,DEBIT_CARD,2291.10,,
DEBIT,12/18/2023,"Autosave General Saving 11483406921",-830.00,ACCT_XFER,2302.09,,
DEBIT,12/18/2023,"JOLIES PLACE CHANDLER AZ                     12/15",-92.07,DEBIT_CARD,3132.09,,
DEBIT,12/18/2023,"DJs Smoke Shop 2 Chandler AZ         494172  12/15",-24.88,DEBIT_CARD,3224.16,,
DEBIT,12/18/2023,"IN *JUNK KING GILBERT 385-3847686 AZ         12/15",-128.00,DEBIT_CARD,3249.04,,
DEBIT,12/15/2023,"Payment to Chase card ending in 9901 12/15",-675.00,LOAN_PMT,3377.04,,
CREDIT,12/15/2023,"ADP TOTALSOURCE  DIRECT DEP                 PPD ID: 9111111101",2897.79,ACH_CREDIT,4052.04,,
DEBIT,12/14/2023,"BARROS PIZZA - E RIGGS CHANDLER AZ           12/13",-60.48,DEBIT_CARD,1154.25,,
DEBIT,12/14/2023,"APPLE.COM/BILL 866-712-7753 CA               12/13",-3.22,DEBIT_CARD,1214.73,,
DEBIT,12/13/2023,"Rocket Money     Premium    ST-K9X0M3Z4T0B6 CCD ID: 4270465600",-8.68,MISC_DEBIT,1217.95,,
DEBIT,12/13/2023,"WHP-RIVER BAR CHANDLER AZ                    12/13",-9.00,DEBIT_CARD,1226.63,,
DEBIT,12/13/2023,"RF *CARING FOR FAMIL PHOENIX AZ              12/12",-25.00,DEBIT_CARD,1235.63,,
DEBIT,12/13/2023,"THE VAPE LAB 1 CHANDLER AZ                   12/12",-44.17,DEBIT_CARD,1260.63,,
DEBIT,12/13/2023,"SHELL OIL 57442011003 SUN LAKES AZ           12/12",-43.19,DEBIT_CARD,1304.80,,
DEBIT,12/12/2023,"NETFLIX.COM NETFLIX.COM CA                   12/12",-7.54,DEBIT_CARD,1347.99,,
DEBIT,12/11/2023,"NON-CHASE ATM FEE-WITH",-3.00,FEE_TRANSACTION,1355.53,,
DEBIT,12/11/2023,"AMERICAN EXPRESS ACH PMT    A6992           WEB ID: 9493560001",-2.16,ACH_DEBIT,1358.53,,
DEBIT,12/11/2023,"Nintendo CD1106971496 800-2553700 WA         12/11",-4.30,DEBIT_CARD,1360.69,,
DEBIT,12/11/2023,"VQ-TASTE KITCHEN LAVEEN AZ                   12/10",-7.00,DEBIT_CARD,1364.99,,
DEBIT,12/11/2023,"NON-CHASE ATM WITHDRAW               547323  12/0915091 S K",-103.00,ATM,1371.99,,
DEBIT,12/11/2023,"IC* INSTACART*SUBSCR HTTPSINSTACAR CA        12/10",-10.55,DEBIT_CARD,1474.99,,
DEBIT,12/11/2023,"ADVS ED SERV PPD STUDNTLOAN                 PPD ID: 9102001101",-311.47,ACH_DEBIT,1485.54,,
DEBIT,12/11/2023,"FIBBER MAGEES CHANDLER AZ                    12/09",-135.00,DEBIT_CARD,1797.01,,
DEBIT,12/11/2023,"VITAL4MEN CHANDLER AZ                        12/08",-42.00,DEBIT_CARD,1932.01,,
DEBIT,12/11/2023,"VITAL4MEN CHANDLER AZ                        12/08",-45.00,DEBIT_CARD,1974.01,,
DEBIT,12/08/2023,"DJs Smoke Shop 2 Chandler AZ         019038  12/08",-38.70,DEBIT_CARD,2019.01,,
DEBIT,12/08/2023,"ORBITEL COMMUNICATION 520-568-8890 AZ        12/07",-49.95,DEBIT_CARD,2057.71,,
DEBIT,12/08/2023,"APPLE.COM/BILL 866-712-7753 CA               12/07",-6.46,DEBIT_CARD,2107.66,,
DEBIT,12/07/2023,"WE DELIVER       IAT PAYPAL 1031140633605   WEB ID: 770510487C",-26.99,ACH_DEBIT,2114.12,,
DEBIT,12/07/2023,"WHP-RIZZO'S PIZZA CHANDLER AZ                12/06",-8.00,DEBIT_CARD,2141.11,,
DEBIT,12/06/2023,"U-HAUL STORAGE OF APA 800-789-3638 AZ        12/05",-61.33,DEBIT_CARD,2149.11,,
DEBIT,12/05/2023,"LIGHTHOUSE PSYCHIATRY 480-5656440 AZ         12/04",-25.00,DEBIT_CARD,2210.44,,
DEBIT,12/04/2023,"PAYPAL           INST XFER  SPOTIFYUSAI     WEB ID: PAYPALSI77",-16.28,ACH_DEBIT,2235.44,,
DEBIT,12/04/2023,"IC* INSTACART 888-2467822 CA                 12/04",-82.61,DEBIT_CARD,2251.72,,
DEBIT,12/04/2023,"SYNCHRONY BANK   PAYMENT    504662204854782 WEB ID: 1061537262",-160.00,ACH_DEBIT,2334.33,,
DEBIT,12/04/2023,"PAYPAL           INST XFER  EMOTIV          WEB ID: PAYPALSI77",-939.05,ACH_DEBIT,2494.33,,
DEBIT,12/04/2023,"Autosave General Saving 11478232616",-830.00,ACCT_XFER,3433.38,,
DEBIT,12/04/2023,"JOLIES PLACE CHANDLER AZ                     12/01",-55.00,DEBIT_CARD,4263.38,,
DEBIT,12/04/2023,"VITAL4MEN CHANDLER AZ                        12/01",-90.00,DEBIT_CARD,4318.38,,
DEBIT,12/04/2023,"IC* INSTACART 888-2467822 CA                 12/01",-289.33,DEBIT_CARD,4408.38,,
CREDIT,12/04/2023,"Online Transfer from SAV ...8306 transaction#: 19183785650",860.00,ACCT_XFER,4697.71,,
DEBIT,12/01/2023,"TARGET        00027474 CHANDLER AZ           11/30",-18.65,DEBIT_CARD,3837.71,,
DEBIT,12/01/2023,"TARGET        00027474 CHANDLER AZ           11/30",-89.59,DEBIT_CARD,3856.36,,
DEBIT,12/01/2023,"CVS/PHARMACY #03491 800-746-7287 AZ          11/30",-10.00,DEBIT_CARD,3945.95,,
DEBIT,12/01/2023,"CALENDLY HTTPSCALENDLY GA                    11/30",-10.71,DEBIT_CARD,3955.95,,
CREDIT,12/01/2023,"ADP TOTALSOURCE  DIRECT DEP                 PPD ID: 9111111102",2897.79,ACH_CREDIT,3966.66,,
DEBIT,11/29/2023,"Payment to Chase card ending in 9901 11/29",-1276.56,LOAN_PMT,1068.87,,
DEBIT,11/29/2023,"RF *CARING FOR FAMIL 575-640-4329 AZ         11/28",-25.00,DEBIT_CARD,2345.43,,
DEBIT,11/29/2023,"APPLE.COM/BILL 866-712-7753 CA               11/28",-16.16,DEBIT_CARD,2370.43,,
CREDIT,11/29/2023,"Online Transfer from SAV ...8306 transaction#: 19136341303",860.00,ACCT_XFER,2386.59,,
CREDIT,11/29/2023,"Online Transfer from SAV ...8306 transaction#: 19136358696",860.00,ACCT_XFER,1526.59,,
DEBIT,11/28/2023,"MOHELA           QDR                        PPD ID: 3431261525",-152.21,ACH_DEBIT,666.59,,
DEBIT,11/28/2023,"ONEMED-SANTAN VILLAGE 888-6636331 AZ         11/27",-25.00,DEBIT_CARD,818.80,,
DEBIT,11/28/2023,"PIZZA HUT 35865 https://ipcha AZ             11/27",-63.13,DEBIT_CARD,843.80,,
DEBIT,11/27/2023,"UNITY TECHNOLOGI IAT PAYPAL 1030900612332   WEB ID: 770510487C",-8.56,ACH_DEBIT,906.93,,
DEBIT,11/27/2023,"STT ENT.         IAT PAYPAL 1030891717622   WEB ID: 770510487C",-39.97,ACH_DEBIT,915.49,,
DEBIT,11/27/2023,"CVS/PHARMACY #03 03491 Sun Lakes AZ  306142  11/27",-5.00,DEBIT_CARD,955.46,,
DEBIT,11/27/2023,"ATM WITHDRAWAL                       000536  11/269538 E RI",-100.00,ATM,960.46,,
DEBIT,11/27/2023,"Zelle payment to Katherine Bogushefsky 19111830328",-150.00,QUICKPAY_DEBIT,1060.46,,
DEBIT,11/27/2023,"SHELL OIL 57445946007 PHOENIX AZ             11/26",-12.03,DEBIT_CARD,1210.46,,
DEBIT,11/27/2023,"MCDONALD'S F25154 CHANDLER AZ                11/25",-18.33,DEBIT_CARD,1222.49,,
DEBIT,11/27/2023,"AKIMEL SMOKE SHOP SUN LAKES AZ               11/25",-2.99,DEBIT_CARD,1240.82,,
DEBIT,11/27/2023,"TOM RYAN'S LOUNGE CHANDLER AZ                11/24",-10.00,DEBIT_CARD,1243.81,,
DEBIT,11/27/2023,"JOLIES PLACE CHANDLER AZ                     11/24",-40.00,DEBIT_CARD,1253.81,,
DEBIT,11/27/2023,"Nintendo CA1096051622 800-2553700 WA         11/24",-6.73,DEBIT_CARD,1293.81,,
DEBIT,11/27/2023,"CVS/PHARMACY #03491 800-746-7287 AZ          11/24",-2.30,DEBIT_CARD,1300.54,,
DEBIT,11/27/2023,"CIRCLE K 03394 MARANA AZ                     11/23",-18.36,DEBIT_CARD,1302.84,,
DEBIT,11/24/2023,"GRAVITATE SMOKE SHOP 4 CHANDLER AZ           11/23",-59.27,DEBIT_CARD,1321.20,,
DEBIT,11/24/2023,"GEICO  *AUTO 800-841-3000 DC                 11/23",-118.25,DEBIT_CARD,1380.47,,
DEBIT,11/24/2023,"CIRCLE K 05973 CHANDLER AZ                   11/22",-10.83,DEBIT_CARD,1498.72,,
DEBIT,11/24/2023,"JOLIES PLACE CHANDLER AZ                     11/22",-160.15,DEBIT_CARD,1509.55,,
DEBIT,11/24/2023,"RF *CARING FOR FAMIL PHOENIX AZ              11/22",-25.00,DEBIT_CARD,1669.70,,
DEBIT,11/24/2023,"THE VAPE LAB 1 CHANDLER AZ                   11/22",-59.26,DEBIT_CARD,1694.70,,
DEBIT,11/22/2023,"DJs Smoke Shop 2 Chandler AZ         960922  11/22",-24.88,DEBIT_CARD,1753.96,,
